,ratio,direct,diffuse
0,4.0,249.84766222725986,65.03756021097975
1,4.0,246.99386171675505,65.88505242974668
2,4.0,247.67298731257208,67.3498868038237
3,4.0,250.9453303984547,68.48874066036126
4,4.0,250.83486354982017,69.27907205715941
5,4.0,248.2372829959821,70.48651148784079
6,4.0,251.05611056861713,71.64037849485942
7,3.0,250.7491491282906,72.56866517296487
8,3.0,251.53756850536692,75.58520007084851
9,3.0,251.10958594406046,74.07171496979745
10,3.0,251.5572557224495,75.58680760291602
11,3.0,251.611214511507,76.8761702867309
12,3.0,251.54437543533783,76.57525362182227
13,3.0,251.3695328031809,78.05761669698437
14,3.0,251.50379465495743,78.70179520946635
15,3.0,251.39701173959446,79.18903723020522
16,3.0,251.97776528317317,79.5375475152292
17,3.0,251.62824387201997,80.77115148992625
18,3.0,249.50091234553645,81.11994756702377
19,3.0,249.67817274781325,81.58347423128264
20,3.0,249.71215865036424,83.05272980281008
21,3.0,249.8253434729633,83.6704034271262
22,3.0,250.10141360724091,85.0005111691227
23,3.0,250.38741952843162,84.94137955259382
24,3.0,250.58722802607807,84.97097293982317
25,3.0,250.74382530994333,84.52285813980696
26,3.0,250.5620005252692,85.17143540035612
27,3.0,250.59946414218095,86.4262751739385
28,3.0,250.79406442914922,86.37135727028179
29,3.0,250.91190110856334,88.73286370794393
30,3.0,250.75164241940686,87.28647312207667
31,3.0,250.66223751141254,88.22281194731615
32,3.0,250.73379378391712,88.21030839656362
33,3.0,250.56649918962722,88.4052384267098
34,3.0,250.13048059382274,90.13851416859298
35,3.0,250.5547923728181,90.92553521625531
36,3.0,250.96577472661346,92.24158874474261
37,3.0,250.13163781434778,90.35006389529279
38,3.0,250.47503287938568,92.09051898240455
39,3.0,250.4564575496501,94.79828389320804
40,3.0,250.25262541373252,92.5756675478559
41,3.0,249.50701967646705,92.27812309211285
42,3.0,249.78114423634426,94.07676550115904
43,3.0,249.81283492697278,91.19142006295675
44,3.0,249.5294241721156,92.39374790605787
45,3.0,249.76588431962554,93.55903551456241
46,3.0,249.58848082395988,93.0420392786913
47,3.0,249.2299665727207,94.24887889271645
48,3.0,249.5503262751365,95.96236386931454
49,2.0,249.5671059116495,101.19568738339957
50,2.0,249.90887528080918,109.1987556554639
51,2.0,250.04038103867614,113.85395780873152
52,2.0,250.46069277811495,112.37465028361498
53,2.0,250.02458373195455,113.31681268019139
54,2.0,249.87152640452948,109.8758166082785
55,2.0,250.48096239721943,106.99192522992048
56,2.0,250.12836158937486,102.27091297772563
57,2.0,250.19429029812204,101.45239646281772
58,2.0,250.4860138092783,105.38828184482675
59,2.0,250.52654630279804,108.33317400754004
60,2.0,250.4586083326295,109.89222152041926
61,2.0,250.39491247332256,111.72876513329362
62,2.0,250.81078157503714,113.24825114813751
63,2.0,252.0031265662665,115.60835072398545
64,2.0,251.36242150662585,110.66011864127786
65,2.0,252.33057880208563,112.34926878109931
66,2.0,252.01314912440162,120.92618325170231
67,2.0,252.69876158935512,125.12990633997279
68,2.0,252.5048803995444,126.21196274992492
69,2.0,253.09536812297733,132.85288849031792
70,2.0,253.2250704063452,134.22309618707453
71,2.0,253.4591597036594,138.53211849468553
72,2.0,253.65265801590624,145.3864843950354
73,2.0,253.45884652374895,147.7010722056286
74,2.0,253.81912049205985,149.89410910437311
75,2.0,253.78601447435247,151.05203687529846
76,2.0,254.1439507987144,151.6419224348674
77,2.0,254.29818295304807,149.71320611728632
78,2.0,254.32445047415447,151.26678215688588
79,2.0,254.16779816475338,144.57162852324086
80,2.0,253.3557548909179,136.19454936350385
81,2.0,252.11463264334333,137.84009824771752
82,2.0,253.4022849255123,153.5426666545338
83,1.0,253.40882912324878,170.71743582616423
84,1.0,254.32184480479586,177.71263060989074
85,1.0,254.35361004828383,176.6905373098698
86,2.0,254.29942598320991,164.44780289140172
87,2.0,253.15663695753975,164.26063936457726
88,1.0,253.3972794003023,173.80348895435083
89,2.0,254.3018559949857,167.52606184912162
90,2.0,254.02250680176377,160.27723877323297
91,2.0,253.92527168279796,151.2760545027195
92,2.0,253.51890821514584,137.75432946744166
93,2.0,253.43992131161795,135.6224857163841
94,2.0,252.6706406948356,142.32594964461725
95,2.0,252.67201625932418,147.73292218059368
96,2.0,251.6873377704586,148.08370309960083
97,2.0,251.566515759611,151.03381047452672
98,2.0,252.93734030289153,165.6062254016879
99,1.0,252.85400474275514,174.28316537104624
100,1.0,252.8821697133688,177.90436013717763
101,1.0,253.62572679517825,179.352619417081
102,1.0,254.024692889387,178.28057780186572
103,1.0,253.7069827741189,179.66510362300974
104,1.0,253.39651635741328,172.14254857346305
105,1.0,253.823701457753,174.29348838115666
106,1.0,254.29424879824586,175.96877333380567
107,1.0,254.2423206472759,177.68637389795336
108,1.0,253.72771902917285,178.1307539831726
109,1.0,253.80521835677277,177.4316616714348
110,1.0,253.74504352221925,178.679296096943
111,1.0,253.94292303208863,182.03781390675798
112,1.0,253.30018216002057,190.16310776326154
113,1.0,253.03714126664357,187.55064520506147
114,1.0,253.60449992673782,182.00699642602285
115,1.0,252.92710802696777,174.12516232980454
116,2.0,251.92120933490958,166.2795193377612
117,2.0,252.11126763926362,158.69309321317073
118,2.0,252.5116139273202,140.02889157623954
119,2.0,252.12982618640302,129.75735653313578
120,2.0,252.4733902441173,136.35868767738694
121,2.0,253.23362462919906,134.46961617793863
122,2.0,252.46135175199962,130.1387743945555
123,2.0,251.91686720420313,131.07432386630703
124,2.0,252.21249137512459,133.3125999304152
125,2.0,252.24619239500123,137.4525174108444
126,2.0,250.937739709829,140.25813335591468
127,2.0,250.75338210136334,134.86488532429954
128,2.0,249.23742963240056,128.59519831183908
129,2.0,249.10931525468138,123.61142403127104
130,2.0,249.41834969510876,124.0583236256781
131,2.0,248.84990213482635,123.51155011141834
132,2.0,249.83379589247482,117.7587706715707
133,2.0,249.46580237227838,118.06972472529374
134,2.0,249.65640355162208,122.5968121108019
135,2.0,249.70032007773315,124.59475791103024
136,2.0,249.93630488513594,124.81605688073259
137,2.0,250.49490860679333,125.45857084350497
138,2.0,251.34655256723715,124.24803396210544
139,2.0,252.11591242088727,132.41133894028508
140,2.0,251.95948746643492,137.63010924777294
141,2.0,252.26215922043863,144.51881825886534
142,2.0,252.97346953233853,144.8252505360473
143,2.0,253.26013606108066,148.57867041131817
144,2.0,253.6057098483093,158.63000135833923
145,1.0,253.29758244450883,169.79097510066225
146,1.0,253.80635603445074,178.0944622991088
147,1.0,253.5479131574022,179.80790598229217
148,1.0,253.5446652010197,176.17407728910308
149,2.0,253.19576951704357,166.31818928196088
150,2.0,252.67644023254454,162.9969992649885
151,2.0,253.4692190624877,164.02595847689355
152,2.0,252.90385038328947,166.4317486874005
153,2.0,253.25755743651754,167.28239906164472
154,2.0,253.23735992428712,158.397548210889
155,2.0,253.0980171195878,151.06318163326392
156,2.0,253.3841366371708,147.00158359836283
157,2.0,253.46343401603409,155.0650709786584
158,2.0,253.4543615198346,160.0933776347442
159,2.0,252.44008622666607,164.68500688120838
160,2.0,252.76793636005303,168.24012869182835
161,1.0,251.41892963899747,168.88086928221637
162,1.0,250.98319928507595,169.89879705551073
163,1.0,235.9755928853755,169.6150567313643
164,1.0,247.64594339622641,166.15452773572372
165,2.0,245.45498736890454,163.54923515126995
166,2.0,242.40337198116552,149.4291277070536
167,2.0,241.93440062475597,148.75868280339935
168,2.0,239.8207233065442,148.36946002280683
169,2.0,230.9444306930693,145.73722682668884
170,1.0,204.8132118451025,137.1773770242158
171,1.0,188.63841807909606,132.26062079835964
172,2.0,211.5733558178752,129.02970108044403
