img_nr,iso,ss,exp,avg_brgt
1,100,0,19896,87.90
2,100,47,9,64.09
3,100,85,28,64.04
4,100,142,85,64.11
5,100,198,142,64.19
6,100,236,180,64.24
7,100,293,236,64.31
8,100,350,293,64.39
9,100,387,331,64.44
10,100,444,387,64.52
11,100,482,425,64.57
12,100,539,482,64.64
13,100,595,539,64.72
14,100,633,577,64.77
15,100,690,633,64.84
16,100,747,690,64.91
17,100,784,728,64.96
18,100,841,784,65.03
19,100,898,841,65.10
20,100,936,879,65.15
21,100,992,936,65.21
22,100,1049,992,65.28
23,100,1087,1030,65.31
24,100,1144,1087,65.38
25,100,1200,1144,65.45
26,100,1238,1181,65.49
27,100,1295,1238,65.55
28,100,1352,1295,65.62
29,100,1389,1333,65.66
30,100,1446,1389,65.73
31,100,1503,1446,65.80
32,100,1541,1484,65.85
33,100,1597,1541,65.92
34,100,1654,1597,66.01
35,100,1692,1635,66.07
36,100,1749,1692,66.15
37,100,1786,1730,66.22
38,100,1843,1786,66.32
39,100,1900,1843,66.43
40,100,1938,1881,66.51
41,100,1994,1938,66.62
42,100,2051,1994,66.75
43,100,2089,2032,66.84
44,100,2146,2089,66.97
45,100,2202,2146,67.09
46,100,2240,2183,67.19
47,100,2297,2240,67.31
48,100,2354,2354,67.49
49,100,2391,2354,67.52
50,100,2448,2391,67.64
51,100,2505,2448,67.76
52,100,2543,2486,67.83
53,100,2599,2543,67.94
54,100,2656,2599,67.94
55,100,2694,2637,68.08
56,100,2750,2694,68.27
57,100,2807,2750,68.39
58,100,2845,2788,68.48
59,100,2902,2845,68.60
60,100,2940,2883,68.69
61,100,2996,2940,68.82
62,100,3053,2996,68.93
63,100,3091,3034,69.03
64,100,3147,3091,69.14
65,100,3204,3147,69.25
66,100,3242,3185,69.33
67,100,3299,3242,69.43
68,100,3355,3299,69.53
69,100,3393,3337,69.60
70,100,3450,3393,69.70
71,100,3507,3450,69.80
72,100,3544,3488,69.88
73,100,3601,3544,69.98
74,100,3658,3601,70.09
75,100,3696,3639,70.17
76,100,3752,3696,70.28
77,100,3809,3752,70.39
78,100,3847,3790,70.47
79,100,3904,3847,70.59
80,100,3960,3904,70.69
81,100,3998,3941,70.77
82,100,4055,3998,70.88
83,100,4093,4036,70.95
84,100,4149,4093,71.06
85,100,4206,4149,71.17
86,100,4244,4187,71.24
87,100,4301,4244,71.36
88,100,4357,4301,71.47
89,100,4395,4338,71.56
90,100,4452,4395,71.68
91,100,4509,4452,71.79
92,100,4546,4490,71.87
93,100,4603,4546,71.99
94,100,4660,4603,72.12
95,100,4698,4641,72.20
96,100,4754,4717,72.33
97,100,4811,4754,72.45
98,100,4849,4792,72.55
99,100,4906,4849,72.68
100,100,4962,4906,72.81
101,100,5000,4943,72.90
102,100,5057,5000,73.03
103,100,5113,5057,73.14
104,100,5151,5095,73.23
105,100,5208,5151,73.34
106,100,5246,5189,73.41
107,100,5303,5246,73.51
108,100,5359,5303,73.61
109,100,5397,5340,73.67
110,100,5454,5397,73.77
111,100,5510,5454,73.87
112,100,5548,5492,73.93
113,100,5605,5548,74.03
114,100,5662,5605,74.12
115,100,5700,5643,74.18
116,100,5756,5700,74.27
117,100,5813,5756,74.37
118,100,5851,5794,74.43
119,100,5907,5851,74.53
120,100,5964,5907,74.63
121,100,6002,5945,74.70
122,100,6059,6002,74.80
123,100,6115,6059,74.92
124,100,6153,6096,75.00
125,100,6210,6153,75.12
126,100,6267,6210,75.24
127,100,6304,6248,75.33
128,100,6361,6304,75.44
129,100,6418,6361,75.56
130,100,6456,6399,75.64
131,100,6512,6456,75.75
132,100,6550,6493,75.83
133,100,6607,6550,75.94
134,100,6664,6607,76.04
135,100,6701,6645,76.12
136,100,6758,6701,76.22
137,100,6815,6758,76.33
138,100,6853,6796,76.40
139,100,6909,6853,76.50
140,100,6966,6909,76.60
141,100,7004,6947,76.66
142,100,7061,7004,76.75
143,100,7117,7080,76.84
144,100,7155,7098,76.89
145,100,7212,7155,76.97
146,100,7269,7212,77.06
147,100,7306,7250,77.10
148,100,7363,7306,77.17
149,100,7420,7363,77.24
150,100,7458,7401,77.29
151,100,7514,7458,77.35
152,100,7571,7514,77.41
153,100,7609,7552,77.44
154,100,7666,7609,77.50
155,100,7722,7666,77.55
156,100,7760,7703,77.57
157,100,7817,7760,77.61
158,100,7855,7798,77.62
159,100,7911,7855,77.66
160,100,7968,7911,77.70
161,100,8006,7949,77.72
162,100,8063,8006,77.75
163,100,8119,8063,77.78
164,100,8157,8100,77.79
165,100,8214,8157,77.81
166,100,8270,8214,77.84
167,100,8308,8252,77.83
168,100,8365,8308,77.85
169,100,8422,8365,77.87
170,100,8459,8403,77.86
171,100,8516,8459,77.87
172,100,8573,8516,77.88
173,100,8611,8554,77.88
174,100,8667,8611,77.90
175,100,8724,8667,77.92
176,100,8762,8705,77.93
177,100,8819,8762,77.96
178,100,8875,8819,78.01
179,100,8913,8856,78.03
180,100,8970,8913,78.08
181,100,9008,8951,78.12
182,100,9064,9008,78.18
183,100,9121,9064,78.24
184,100,9159,9102,78.27
185,100,9216,9159,78.34
186,100,9272,9216,78.40
187,100,9310,9253,78.44
188,100,9367,9310,78.51
189,100,9424,9367,78.59
190,100,9461,9443,78.66
191,100,9518,9461,78.72
192,100,9575,9518,78.81
193,100,9613,9556,78.87
194,100,9669,9613,78.95
195,100,9726,9669,79.04
196,100,9764,9707,79.10
197,100,9821,9764,79.18
198,100,9877,9821,79.24
199,100,9915,9858,79.28
200,100,9972,9915,79.34
201,100,10029,9972,79.39
202,100,10066,10010,79.42
203,100,10123,10066,79.47
204,100,10161,10104,79.49
205,100,10218,10161,79.54
206,100,10274,10218,79.59
207,100,10312,10255,79.62
208,100,10369,10312,79.68
209,100,10426,10369,79.74
210,100,10463,10407,79.77
211,100,10520,10463,79.83
212,100,10577,10520,79.89
213,100,10615,10558,79.92
214,100,10671,10615,79.99
215,100,10728,10671,80.05
216,100,10766,10709,80.10
217,100,10822,10766,80.17
218,100,10879,10822,80.26
219,100,10917,10860,80.32
220,100,10974,10917,80.41
221,100,11030,10974,80.51
222,100,11068,11012,80.58
223,100,11125,11068,80.68
224,100,11182,11125,80.79
225,100,11219,11163,80.88
226,100,11276,11219,80.99
227,100,11333,11276,81.09
228,100,11371,11314,81.18
229,100,11427,11371,81.28
230,100,11465,11409,81.36
231,100,11522,11465,81.46
232,100,11579,11522,81.55
233,100,11616,11560,81.63
234,100,11673,11616,81.72
235,100,11730,11673,81.81
236,100,11768,11711,81.88
237,100,11824,11806,81.99
238,100,11881,11824,82.06
239,100,11919,11862,82.12
240,100,11976,11919,82.19
241,100,12032,11976,82.28
242,100,12070,12013,82.33
243,100,12127,12070,82.39
244,100,12184,12127,82.46
245,100,12221,12165,82.50
246,100,12278,12221,82.56
247,100,12335,12278,82.62
248,100,12373,12316,82.64
249,100,12429,12373,82.69
250,100,12486,12429,82.74
251,100,12524,12467,82.76
252,100,12581,12524,82.80
253,100,12637,12581,82.83
254,100,12675,12618,82.85
255,100,12732,12675,82.89
256,100,12770,12713,82.90
257,100,12826,12770,82.92
258,100,12883,12826,82.94
259,100,12921,12864,82.94
260,100,12978,12921,82.95
261,100,13034,12978,82.95
262,100,13072,13015,82.91
263,100,13129,13072,82.89
264,100,13185,13129,82.85
265,100,13223,13167,82.79
266,100,13280,13223,82.73
267,100,13337,13280,82.67
268,100,13375,13318,82.58
269,100,13431,13375,82.50
270,100,13488,13431,82.42
271,100,13526,13469,82.33
272,100,13582,13526,82.25
273,100,13639,13582,82.19
274,100,13677,13620,82.11
275,100,13734,13677,82.06
276,100,13790,13734,82.02
277,100,13828,13772,81.98
278,100,13885,13828,81.96
279,100,13923,13866,81.92
280,100,13979,13923,81.61
281,100,14036,13979,81.04
282,100,14074,14017,76.69
283,100,14131,14074,72.00
284,100,14187,14169,73.38
285,100,14225,14169,75.06
286,100,14282,14225,75.02
287,100,14339,14282,70.95
288,100,14376,14320,72.44
289,100,14433,14376,72.83
290,100,14490,14433,81.08
291,100,14528,14471,82.23
292,100,14584,14528,82.33
293,100,14641,14584,82.43
294,100,14679,14622,82.49
295,100,14736,14679,82.59
296,100,14792,14736,82.69
297,100,14830,14773,82.75
298,100,14887,14830,82.83
299,100,14944,14887,82.91
300,100,14981,14925,82.97
301,100,15038,14981,83.03
302,100,15076,15019,83.07
303,100,15133,15076,83.12
304,100,15189,15133,83.18
305,100,15227,15170,83.20
306,100,15284,15227,83.23
307,100,15341,15284,83.26
308,100,15378,15322,83.25
309,100,15435,15378,83.26
310,100,15492,15435,83.25
311,100,15530,15473,83.22
312,100,15586,15530,83.20
313,100,15643,15586,83.17
314,100,15681,15624,83.13
315,100,15738,15681,83.09
316,100,15794,15738,83.06
317,100,15832,15775,83.00
318,100,15889,15832,82.96
319,100,15945,15889,82.92
320,100,15983,15927,82.82
321,100,16040,15983,82.79
322,100,16097,16040,82.77
323,100,16135,16078,82.76
324,100,16191,16135,82.79
325,100,16248,16191,82.80
326,100,16286,16229,82.81
327,100,16342,16286,82.84
328,100,16380,16324,82.88
329,100,16437,16380,82.92
330,100,16494,16437,82.98
331,100,16532,16532,83.04
332,100,16588,16532,83.07
333,100,16645,16588,83.12
334,100,16683,16626,83.17
335,100,16739,16683,83.23
336,100,16796,16739,83.28
337,100,16834,16777,83.32
338,100,16891,16834,83.38
339,100,16947,16891,83.43
340,100,16985,16928,83.48
341,100,17042,16985,83.54
342,100,17099,17042,83.63
343,100,17136,17080,83.70
344,100,17193,17136,83.79
345,100,17250,17193,83.89
346,100,17288,17231,83.98
347,100,17344,17288,84.10
348,100,17401,17344,84.22
349,100,17439,17382,84.31
350,100,17496,17439,84.42
351,100,17552,17496,84.53
352,100,17590,17533,84.61
353,100,17647,17590,84.69
354,100,17685,17628,84.77
355,100,17741,17685,84.85
356,100,17798,17741,84.92
357,100,17836,17779,84.97
358,100,17893,17836,85.04
359,100,17949,17893,85.10
360,100,17987,17930,85.15
361,100,18044,17987,85.21
362,100,18101,18044,85.28
363,100,18138,18082,85.33
364,100,18195,18138,85.39
365,100,18252,18195,85.46
366,100,18290,18233,85.51
367,100,18346,18290,85.57
368,100,18403,18346,85.64
369,100,18441,18384,85.68
370,100,18498,18441,85.74
371,100,18554,18498,85.80
372,100,18592,18535,85.84
373,100,18649,18592,85.89
374,100,18705,18649,85.94
375,100,18743,18687,85.97
376,100,18800,18743,86.01
377,100,18838,18781,86.04
378,100,18895,18895,86.12
379,100,18951,18895,86.14
380,100,18989,18932,86.16
381,100,19046,18989,86.21
382,100,19102,19046,86.26
383,100,19140,19084,86.29
384,100,19197,19140,86.34
385,100,19254,19197,86.39
386,100,19291,19235,86.42
387,100,19348,19291,86.47
388,100,19405,19348,86.51
389,100,19443,19386,86.53
390,100,19499,19443,86.57
391,100,19556,19499,86.59
392,100,19594,19537,86.61
393,100,19651,19594,86.61
394,100,19707,19651,86.62
395,100,19745,19688,86.61
396,100,19802,19745,86.62
397,100,19859,19802,86.62
398,100,19896,19840,86.61
399,100,19953,19896,86.60
400,100,19991,19934,86.59
401,100,20048,19991,86.59
402,100,20104,20048,86.60
403,100,20142,20085,86.59
404,100,20199,20142,86.60
405,100,20256,20199,86.62
406,100,20293,20237,86.62
407,100,20350,20293,86.66
408,100,20407,20350,86.68
409,100,20445,20388,86.68
410,100,20501,20445,86.71
411,100,20558,20501,86.73
412,100,20596,20539,86.74
413,100,20653,20596,86.76
414,100,20709,20653,86.80
415,100,20747,20690,86.81
416,100,20804,20747,86.86
417,100,20861,20804,86.91
418,100,20898,20842,86.96
419,100,20955,20898,87.03
420,100,21012,20955,87.12
421,100,21050,20993,87.19
422,100,21106,21050,87.28
423,100,21163,21106,87.38
424,100,21201,21144,87.46
425,100,21258,21258,87.58
426,100,21295,21258,87.59
427,100,21352,21295,87.70
428,100,21409,21352,87.78
429,100,21447,21390,87.84
430,100,21503,21447,87.91
431,100,21560,21503,87.97
432,100,21598,21541,88.02
433,100,21654,21598,88.06
434,100,21711,21654,88.12
435,100,21749,21692,88.17
436,100,21806,21749,88.24
437,100,21862,21806,88.25
438,100,21900,21844,87.96
439,100,21957,21900,87.96
440,100,22014,21957,88.36
441,100,22051,21995,88.51
442,100,22108,22051,88.56
443,100,22165,22108,88.15
444,100,22203,22146,88.42
445,100,22259,22203,88.48
446,100,22316,22259,88.52
447,100,22354,22297,88.56
448,100,22411,22354,88.61
449,100,22467,22411,88.64
450,100,22505,22448,88.69
451,100,22562,22505,88.74
452,100,22600,22543,88.76
453,100,22656,22600,88.80
454,100,22713,22656,88.84
455,100,22751,22694,88.89
456,100,22808,22751,88.91
457,100,22864,22808,88.72
458,100,22902,22845,88.83
459,100,22959,22902,88.73
460,100,23016,22959,88.92
461,100,23053,22997,88.81
462,100,23110,23053,89.19
463,100,23167,23110,89.28
464,100,23205,23148,89.27
465,100,23261,23205,89.31
466,100,23318,23261,88.99
467,100,23356,23299,89.18
468,100,23413,23356,69.98
469,100,23469,23413,69.20
470,100,23507,23450,79.99
471,100,23564,23507,89.48
472,100,23621,23621,89.79
473,100,23658,23621,89.80
474,100,23715,23658,89.51
475,100,23753,23696,89.51
476,100,23810,23753,89.54
477,100,23866,23810,89.58
478,100,23904,23847,89.79
479,100,23961,23904,89.83
480,100,24017,23961,89.89
481,100,24055,23999,90.05
482,100,24112,24055,90.14
483,100,24169,24112,90.17
484,100,24207,24150,89.96
485,100,24263,24207,89.92
486,100,24320,24263,90.48
487,100,24358,24301,90.83
488,100,24414,24358,91.09
489,100,24471,24414,90.97
490,100,24509,24452,90.57
491,100,24566,24509,90.78
492,100,24622,24566,90.90
493,100,24660,24604,91.20
494,100,24717,24660,91.32
495,100,24774,24717,91.40
496,100,24811,24755,91.44
497,100,24868,24811,91.48
498,100,24906,24849,91.53
499,100,24963,24906,91.55
500,100,25019,24963,91.60
501,100,25057,25000,91.64
502,100,25114,25057,91.69
503,100,25171,25114,91.75
504,100,25208,25152,91.79
505,100,25265,25208,91.85
506,100,25322,25265,91.90
507,100,25360,25303,91.94
508,100,25416,25360,91.99
509,100,25473,25416,92.06
510,100,25511,25454,92.10
511,100,25568,25511,92.15
512,100,25624,25568,92.20
513,100,25662,25605,92.25
514,100,25719,25662,92.30
515,100,25776,25719,92.36
516,100,25813,25757,92.39
517,100,25870,25813,92.44
518,100,25927,25870,92.50
519,100,25965,25908,92.54
520,100,26021,25984,92.59
521,100,26078,26021,92.64
522,100,26116,26059,92.69
523,100,26173,26116,92.74
524,100,26210,26154,92.77
525,100,26267,26210,92.83
526,100,26324,26267,92.91
527,100,26362,26305,92.95
528,100,26418,26362,93.00
529,100,26475,26418,93.03
530,100,26513,26456,93.06
531,100,26570,26513,93.12
532,100,26626,26570,93.17
533,100,26664,26607,93.23
534,100,26721,26664,93.28
535,100,26777,26721,93.33
536,100,26815,26759,93.37
537,100,26872,26815,93.42
538,100,26929,26872,93.47
539,100,26967,26910,93.50
540,100,27023,26967,93.54
541,100,27080,27023,93.59
542,100,27118,27061,93.62
543,100,27174,27118,93.69
544,100,27231,27174,93.72
545,100,27269,27212,93.74
546,100,27326,27269,93.79
547,100,27363,27307,93.81
548,100,27420,27363,93.86
549,100,27477,27420,93.91
550,100,27515,27458,93.95
551,100,27571,27515,94.00
552,100,27628,27571,94.04
553,100,27666,27609,94.07
554,100,27723,27666,94.11
555,100,27779,27723,94.15
556,100,27817,27760,94.18
557,100,27874,27817,94.22
558,100,27931,27874,94.26
559,100,27968,27912,94.29
560,100,28025,27968,94.33
561,100,28082,28025,94.37
562,100,28120,28063,94.40
563,100,28176,28120,94.44
564,100,28233,28176,94.48
565,100,28271,28214,94.49
566,100,28328,28271,93.79
567,100,28384,28347,93.85
568,100,28422,28365,93.87
569,100,28479,28422,93.92
570,100,28517,28460,93.95
571,100,28573,28517,93.99
572,100,28630,28573,94.03
573,100,28668,28611,94.06
574,100,28725,28668,94.10
575,100,28781,28725,94.14
576,100,28819,28762,94.16
577,100,28876,28819,94.20
578,100,28933,28876,94.23
579,100,28970,28914,94.27
580,100,29027,28970,94.30
581,100,29084,29027,94.35
582,100,29122,29065,94.38
583,100,29178,29122,94.41
584,100,29235,29178,94.45
585,100,29273,29216,94.48
586,100,29330,29273,94.53
587,100,29386,29330,94.56
588,100,29424,29367,94.59
589,100,29481,29424,94.63
590,100,29537,29481,94.67
591,100,29575,29519,94.70
592,100,29632,29575,94.74
593,100,29670,29613,94.76
594,100,29726,29670,94.81
595,100,29783,29726,94.85
596,100,29821,29764,94.87
597,100,29878,29821,94.92
598,100,29934,29878,94.96
599,100,29972,29916,94.97
600,100,30029,29972,95.02
601,100,30086,30029,95.05
602,100,30123,30067,95.07
603,100,30180,30123,95.11
604,100,30237,30180,95.14
605,100,30275,30218,95.16
606,100,30331,30275,95.19
607,100,30388,30331,95.23
608,100,30426,30369,95.25
609,100,30483,30426,95.28
610,100,30539,30483,95.30
611,100,30577,30520,95.32
612,100,30634,30577,95.35
613,100,30691,30634,95.38
614,100,30728,30710,95.40
615,100,30785,30728,95.42
616,100,30842,30785,95.45
617,100,30880,30823,95.46
618,100,30936,30880,95.49
619,100,30974,30917,95.50
620,100,31031,30974,95.52
621,100,31088,31031,95.54
622,100,31125,31069,95.56
623,100,31182,31125,95.58
624,100,31239,31182,95.60
625,100,31277,31220,95.61
626,100,31333,31277,95.62
627,100,31390,31333,95.64
628,100,31428,31371,95.65
629,100,31485,31428,95.67
630,100,31541,31485,95.69
631,100,31579,31522,95.70
632,100,31636,31579,95.72
633,100,31693,31636,95.74
634,100,31730,31674,95.75
635,100,31787,31730,95.77
636,100,31844,31787,95.79
637,100,31882,31825,95.79
638,100,31938,31882,95.81
639,100,31995,31938,95.82
640,100,32033,31976,95.81
641,100,32089,32033,95.83
642,100,32146,32089,95.85
643,100,32184,32127,95.85
644,100,32241,32184,95.86
645,100,32279,32222,95.85
646,100,32335,32279,95.86
647,100,32392,32335,95.87
648,100,32430,32373,95.87
649,100,32486,32430,95.88
650,100,32543,32486,95.89
651,100,32581,32524,95.89
652,100,32638,32581,95.90
653,100,32694,32638,95.92
654,100,32732,32676,95.91
655,100,32789,32732,95.93
656,100,32846,32789,95.94
657,100,32883,32827,95.94
658,100,32940,32883,95.96
659,100,32997,32940,95.98
